id,school_id,created_by,type,subject_id,subject,grade,difficulty,language,question,statement,answers,correct_index,correct_answer,explanation,unit,image_url,tags,time_limit,lehrplan21_topic,is_active,created_at,updated_at
b5e84ca3-298e-41e8-a137-81d0d5a9372e,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,2,4,en,How many letters are in the word 'computer'?,,,,8,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-2"", ""diff-4""]",27200,D.3.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
cdfad608-98e4-4368-b894-a5eb5494c793,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,3,2,fr,Sur quel continent se trouve China ?,,"[""Africa"", ""South America"", ""Asia"", ""North America""]",2,,China se trouve en Asia.,,,"[""geography"", ""continents"", ""fr"", ""grade-3"", ""diff-2""]",15400,NMG.8.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
ab687e5f-645d-4212-8f0b-6a0fe971580d,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,3,5,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-3"", ""diff-5""]",28000,NMG.8.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
0d9d0b84-b929-4cf0-ba14-87d39f578100,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,5,3,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",2,,Recognize the animal in the image.,,https://picsum.photos/seed/img14/400/300,"[""general-knowledge"", ""image"", ""en"", ""grade-5"", ""diff-3""]",14000,NMG.6.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
978d2de0-e558-4bc4-9175-4f83cfcab1f8,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,6,4,de,Wie heißt die Hauptstadt von China?,,"[""Tokyo"", ""Helsinki"", ""Beijing"", ""Vienna""]",2,,Die Hauptstadt von China ist Beijing.,,,"[""geography"", ""capitals"", ""de"", ""grade-6"", ""diff-4""]",13600,NMG.8.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
b7a7bc8e-088a-414b-938a-ba4d3a11ba3d,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,5,3,de,Was ist der Plural von 'mouse' auf Englisch?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' ist ein unregelmäßiger Plural.,,,"[""language"", ""grammar"", ""de"", ""grade-5"", ""diff-3""]",14000,D.6.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
7ea53f22-69f3-4e90-8a10-6b5bb8e2ce81,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,3,5,en,,Brussels is the capital of Spain.,,,False,The capital of Spain is Madrid.,,,"[""geography"", ""true-false"", ""en"", ""grade-3"", ""diff-5""]",28000,NMG.8.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
3ce298a1-dc3f-48cf-84d0-e1f316a7884d,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,5,4,en,On which continent is South Korea?,,"[""Antarctica"", ""North America"", ""Asia"", ""Oceania""]",2,,South Korea is in Asia.,,,"[""geography"", ""continents"", ""en"", ""grade-5"", ""diff-4""]",17000,NMG.8.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
b400b41f-d9f1-4460-9d6d-c8471f1d43bf,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,5,3,fr,Quel animal est montré sur l'image ?,,"[""Chat"", ""Chien"", ""Oiseau"", ""Poisson""]",2,,Reconnaissez l'animal sur l'image.,,https://picsum.photos/seed/img19/400/300,"[""general-knowledge"", ""image"", ""fr"", ""grade-5"", ""diff-3""]",14000,NMG.6.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
2e5c213c-f56f-4e0b-8aad-d375036d3641,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,2,2,en,What is the capital of Netherlands?,,"[""Paris"", ""Lisbon"", ""Amsterdam"", ""Brussels""]",2,,The capital of Netherlands is Amsterdam.,,,"[""geography"", ""capitals"", ""en"", ""grade-2"", ""diff-2""]",17600,NMG.8.2,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
66300939-b08a-4238-8035-ba5499a7b35d,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,2,3,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-2"", ""diff-3""]",22400,NMG.3.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
49b1a3fc-ab90-48cf-a8a8-16ffa6ea7298,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,4,3,fr,Combien font 39 ÷ 8 ? (arrondir à l'entier le plus proche),,"[""5"", ""6"", ""7"", ""4""]",0,,Le résultat correct est 5.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-3""]",16800,MA.2.A.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
3c997273-c9a6-4684-9390-7ec42cdff2e4,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,1,3,fr,Sur quel continent se trouve Spain ?,,"[""Europe"", ""Africa"", ""North America"", ""Asia""]",0,,Spain se trouve en Europe.,,,"[""geography"", ""continents"", ""fr"", ""grade-1"", ""diff-3""]",25200,NMG.8.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
4a901def-80f3-4ac0-8792-93a4ba83c3c9,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f9067f9-9e39-4e38-944f-6701b837981b,math,3,4,en,,58 is an even number.,,,True,Even numbers are divisible by 2.,,,"[""math"", ""true-false"", ""en"", ""grade-3"", ""diff-4""]",23800,MA.2.A.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
3b54c5e1-6ced-4dbc-90b8-a0afc08faded,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,4,3,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-4"", ""diff-3""]",16800,NMG.5.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
174f5468-626a-4cca-b3c5-a74e71170215,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,2,2,fr,Combien font 39 ÷ 5 ? (arrondir à l'entier le plus proche),,"[""7"", ""9"", ""8"", ""10""]",2,,Le résultat correct est 8.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-2"", ""diff-2""]",17600,MA.1.A.2,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
840d05b9-8393-40c1-b160-e04b40d4f90f,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,9f9067f9-9e39-4e38-944f-6701b837981b,math,3,2,fr,Quel animal est montré sur l'image ?,,"[""Chat"", ""Chien"", ""Oiseau"", ""Poisson""]",1,,Reconnaissez l'animal sur l'image.,,https://picsum.photos/seed/img27/400/300,"[""math"", ""image"", ""fr"", ""grade-3"", ""diff-2""]",15400,MA.2.A.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
bb6601cf-cc5f-4cd4-bcaf-4ddabbc77131,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,5,1,en,What is 2 × 2?,,"[""2"", ""7"", ""4"", ""8""]",2,,The correct result is 4.,,,"[""math"", ""arithmetic"", ""en"", ""grade-5"", ""diff-1""]",8000,MA.3.A.5,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
3e8bed6c-93f7-41db-a618-4f3c32de7f88,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,1,4,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-1"", ""diff-4""]",30600,D.2.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
d51d84ab-8bf5-4077-9ad2-f4db3774eee4,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,3,3,de,Wie heißt die Hauptstadt von Czech Republic?,,"[""Prague"", ""Warsaw"", ""Tirana"", ""Brussels""]",0,,Die Hauptstadt von Czech Republic ist Prague.,,,"[""geography"", ""capitals"", ""de"", ""grade-3"", ""diff-3""]",19600,NMG.8.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
911ad997-556b-48dc-8993-7c195f6e6fd4,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f9067f9-9e39-4e38-944f-6701b837981b,math,5,1,en,,20 + 20 equals 2 × 20.,,,True,"By distributive property, it's always true.",,,"[""math"", ""true-false"", ""en"", ""grade-5"", ""diff-1""]",8000,MA.3.A.5,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
b810e09d-55ba-44fb-82e8-5dd9421f7964,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,9f9067f9-9e39-4e38-944f-6701b837981b,math,2,5,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",1,,Identify the basic geometric shape.,,https://picsum.photos/seed/img32/400/300,"[""math"", ""image"", ""en"", ""grade-2"", ""diff-5""]",32000,MA.1.A.2,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
66599ba4-833c-4be5-bae6-d1f5df66cd30,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,5,3,fr,Un carré a un côté de 2 cm. Quel est son périmètre ?,,"[""4"", ""16"", ""8"", ""12""]",2,,Le résultat correct est 8.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-5"", ""diff-3""]",14000,MA.3.A.5,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
b04dbe66-d07b-4f2d-bc1c-8a583a58a76e,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,9f9067f9-9e39-4e38-944f-6701b837981b,math,1,3,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",2,,Recognize the animal in the image.,,https://picsum.photos/seed/img34/400/300,"[""math"", ""image"", ""en"", ""grade-1"", ""diff-3""]",25200,MA.1.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
7c42a062-4bbc-4a72-92b9-41b5df87502d,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,4,2,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-4"", ""diff-2""]",13200,D.5.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
fb28a5ba-cd5a-40a5-8ae4-16204dc6c59d,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,1,2,fr,,"Au niveau de la mer, l'eau bout à 100°C.",,,True,Le point d'ébullition de l'eau au niveau de la mer est 100°C.,,,"[""general-knowledge"", ""true-false"", ""fr"", ""grade-1"", ""diff-2""]",19800,NMG.2.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
3de4c0f4-2bb8-488a-88be-1acc0cdaaba4,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,4,2,fr,Combien font 81 ÷ 10 ? (arrondir à l'entier le plus proche),,"[""10"", ""7"", ""8"", ""9""]",2,,Le résultat correct est 8.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-2""]",13200,MA.2.A.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
bc82b7ac-35b9-4cd1-ab74-dd792d998092,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,1,2,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",3,,Identify the basic geometric shape.,,https://picsum.photos/seed/img38/400/300,"[""language"", ""image"", ""en"", ""grade-1"", ""diff-2""]",19800,D.2.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
8021ad07-5934-43be-804e-34af3432018a,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,5,4,fr,Combien font 5 × 12 ?,,"[""59"", ""56"", ""63"", ""60""]",3,,Le résultat correct est 60.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-5"", ""diff-4""]",17000,MA.3.A.5,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
0b27cdfb-b0e8-41a5-95c9-da991c6b8101,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,9f9067f9-9e39-4e38-944f-6701b837981b,math,5,1,en,What is 15% of 50?,,,,8,15% of 50 = 50×15/100 = 8.,,,"[""math"", ""number-input"", ""en"", ""grade-5"", ""diff-1""]",8000,MA.3.A.5,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
d112cc1f-1f73-4a0e-bfce-b1de4478edf2,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,9f9067f9-9e39-4e38-944f-6701b837981b,math,5,4,fr,Combien font 44 × 30 ?,,,,1320,44×30=1320.,,,"[""math"", ""number-input"", ""fr"", ""grade-5"", ""diff-4""]",17000,MA.3.A.5,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
5a89bb0c-1859-464f-9e41-b0058d19101e,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,9f9067f9-9e39-4e38-944f-6701b837981b,math,6,2,fr,Combien font 20% de 80 ?,,,,16,20% de 80 = 80×20/100 = 16.,,,"[""math"", ""number-input"", ""fr"", ""grade-6"", ""diff-2""]",8800,MA.3.A.6,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
9dd03e44-3c04-4e77-b86d-812a304bd6eb,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,4,2,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-4"", ""diff-2""]",13200,NMG.5.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
cbbc6f81-78f4-4d9b-a1e0-d49920ee5c06,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,3,3,fr,Un carré a un côté de 12 cm. Quel est son périmètre ?,,"[""52"", ""44"", ""48"", ""56""]",2,,Le résultat correct est 48.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-3""]",19600,MA.2.A.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
75de7f60-c0a2-4e79-9d85-806d9ac8c586,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,1,2,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-1"", ""diff-2""]",19800,NMG.2.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
85be6c30-1732-4444-b883-c9ddfe5fb480,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,1,5,fr,Combien y a-t-il de continents sur Terre ?,,,,7,Le modèle standard en compte 7.,,,"[""geography"", ""number-input"", ""fr"", ""grade-1"", ""diff-5""]",36000,NMG.8.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
6b31bc16-bd6c-4e3a-9678-a240ca608077,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,6,3,en,Choose the correct article: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' starts with a vowel sound → 'an'.,,,"[""language"", ""grammar"", ""en"", ""grade-6"", ""diff-3""]",11200,D.6.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
96764637-491c-469c-bec4-4997af2335cd,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,image-question,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,3,5,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",2,,Recognize the animal in the image.,,https://picsum.photos/seed/img48/400/300,"[""language"", ""image"", ""en"", ""grade-3"", ""diff-5""]",28000,D.4.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
80f4d2e4-69b4-46e2-a099-0d357d5d5881,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f9067f9-9e39-4e38-944f-6701b837981b,math,3,3,fr,,26 + 45 est supérieur à 26 × 45.,,,False,Comparez la somme et le produit.,,,"[""math"", ""true-false"", ""fr"", ""grade-3"", ""diff-3""]",19600,MA.2.A.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
abc83706-5a95-4e52-87eb-266b7f4b69d3,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,6,3,en,What is 88 − 5?,,"[""84"", ""82"", ""85"", ""83""]",3,,The correct result is 83.,,,"[""math"", ""arithmetic"", ""en"", ""grade-6"", ""diff-3""]",11200,MA.3.A.6,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
a919beb3-fa9c-4b09-9963-0195f3a8acfb,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,4,2,fr,Combien font 107 ÷ 9 ? (arrondir à l'entier le plus proche),,"[""13"", ""11"", ""14"", ""12""]",3,,Le résultat correct est 12.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-2""]",13200,MA.2.A.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
8c6d1f4e-a833-4f4a-9d75-a9a81a4035b9,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f9067f9-9e39-4e38-944f-6701b837981b,math,4,1,de,,88 ist eine ungerade Zahl.,,,False,Ungerade Zahlen sind nicht durch 2 teilbar.,,,"[""math"", ""true-false"", ""de"", ""grade-4"", ""diff-1""]",9600,MA.2.A.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
