type,subject,grade,difficulty,language,question,statement,answers,correct_index,correct_answer,explanation,unit,image_url,tags,time_limit,created_at,updated_at
number-input,language,2,4,en,How many letters are in the word 'computer'?,,,,8,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,2,fr,Sur quel continent se trouve China ?,,"[""Africa"", ""South America"", ""Asia"", ""North America""]",2,,China se trouve en Asia.,,,"[""geography"", ""continents"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,3,5,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-3"", ""diff-5""]",28000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,general-knowledge,5,3,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",2,,Recognize the animal in the image.,,https://picsum.photos/seed/img14/400/300,"[""general-knowledge"", ""image"", ""en"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,6,4,de,Wie heißt die Hauptstadt von China?,,"[""Tokyo"", ""Helsinki"", ""Beijing"", ""Vienna""]",2,,Die Hauptstadt von China ist Beijing.,,,"[""geography"", ""capitals"", ""de"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,3,de,Was ist der Plural von 'mouse' auf Englisch?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' ist ein unregelmäßiger Plural.,,,"[""language"", ""grammar"", ""de"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,3,5,en,,Brussels is the capital of Spain.,,,False,The capital of Spain is Madrid.,,,"[""geography"", ""true-false"", ""en"", ""grade-3"", ""diff-5""]",28000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,5,4,en,On which continent is South Korea?,,"[""Antarctica"", ""North America"", ""Asia"", ""Oceania""]",2,,South Korea is in Asia.,,,"[""geography"", ""continents"", ""en"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,general-knowledge,5,3,fr,Quel animal est montré sur l'image ?,,"[""Chat"", ""Chien"", ""Oiseau"", ""Poisson""]",2,,Reconnaissez l'animal sur l'image.,,https://picsum.photos/seed/img19/400/300,"[""general-knowledge"", ""image"", ""fr"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,2,2,en,What is the capital of Netherlands?,,"[""Paris"", ""Lisbon"", ""Amsterdam"", ""Brussels""]",2,,The capital of Netherlands is Amsterdam.,,,"[""geography"", ""capitals"", ""en"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,2,3,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,3,fr,Combien font 39 ÷ 8 ? (arrondir à l'entier le plus proche),,"[""5"", ""6"", ""7"", ""4""]",0,,Le résultat correct est 5.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,1,3,fr,Sur quel continent se trouve Spain ?,,"[""Europe"", ""Africa"", ""North America"", ""Asia""]",0,,Spain se trouve en Europe.,,,"[""geography"", ""continents"", ""fr"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,3,4,en,,58 is an even number.,,,True,Even numbers are divisible by 2.,,,"[""math"", ""true-false"", ""en"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,4,3,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,2,2,fr,Combien font 39 ÷ 5 ? (arrondir à l'entier le plus proche),,"[""7"", ""9"", ""8"", ""10""]",2,,Le résultat correct est 8.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,math,3,2,fr,Quel animal est montré sur l'image ?,,"[""Chat"", ""Chien"", ""Oiseau"", ""Poisson""]",1,,Reconnaissez l'animal sur l'image.,,https://picsum.photos/seed/img27/400/300,"[""math"", ""image"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,5,1,en,What is 2 × 2?,,"[""2"", ""7"", ""4"", ""8""]",2,,The correct result is 4.,,,"[""math"", ""arithmetic"", ""en"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,1,4,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-1"", ""diff-4""]",30600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,3,de,Wie heißt die Hauptstadt von Czech Republic?,,"[""Prague"", ""Warsaw"", ""Tirana"", ""Brussels""]",0,,Die Hauptstadt von Czech Republic ist Prague.,,,"[""geography"", ""capitals"", ""de"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,5,1,en,,20 + 20 equals 2 × 20.,,,True,"By distributive property, it's always true.",,,"[""math"", ""true-false"", ""en"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,math,2,5,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",1,,Identify the basic geometric shape.,,https://picsum.photos/seed/img32/400/300,"[""math"", ""image"", ""en"", ""grade-2"", ""diff-5""]",32000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,5,3,fr,Un carré a un côté de 2 cm. Quel est son périmètre ?,,"[""4"", ""16"", ""8"", ""12""]",2,,Le résultat correct est 8.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,math,1,3,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",2,,Recognize the animal in the image.,,https://picsum.photos/seed/img34/400/300,"[""math"", ""image"", ""en"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,4,2,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,1,2,fr,,"Au niveau de la mer, l'eau bout à 100°C.",,,True,Le point d'ébullition de l'eau au niveau de la mer est 100°C.,,,"[""general-knowledge"", ""true-false"", ""fr"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,2,fr,Combien font 81 ÷ 10 ? (arrondir à l'entier le plus proche),,"[""10"", ""7"", ""8"", ""9""]",2,,Le résultat correct est 8.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,language,1,2,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",3,,Identify the basic geometric shape.,,https://picsum.photos/seed/img38/400/300,"[""language"", ""image"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,5,4,fr,Combien font 5 × 12 ?,,"[""59"", ""56"", ""63"", ""60""]",3,,Le résultat correct est 60.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,5,1,en,What is 15% of 50?,,,,8,15% of 50 = 50×15/100 = 8.,,,"[""math"", ""number-input"", ""en"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,5,4,fr,Combien font 44 × 30 ?,,,,1320,44×30=1320.,,,"[""math"", ""number-input"", ""fr"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,6,2,fr,Combien font 20% de 80 ?,,,,16,20% de 80 = 80×20/100 = 16.,,,"[""math"", ""number-input"", ""fr"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,4,2,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,3,fr,Un carré a un côté de 12 cm. Quel est son périmètre ?,,"[""52"", ""44"", ""48"", ""56""]",2,,Le résultat correct est 48.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,1,2,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,1,5,fr,Combien y a-t-il de continents sur Terre ?,,,,7,Le modèle standard en compte 7.,,,"[""geography"", ""number-input"", ""fr"", ""grade-1"", ""diff-5""]",36000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,3,en,Choose the correct article: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' starts with a vowel sound → 'an'.,,,"[""language"", ""grammar"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,language,3,5,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",2,,Recognize the animal in the image.,,https://picsum.photos/seed/img48/400/300,"[""language"", ""image"", ""en"", ""grade-3"", ""diff-5""]",28000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,3,3,fr,,26 + 45 est supérieur à 26 × 45.,,,False,Comparez la somme et le produit.,,,"[""math"", ""true-false"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,3,en,What is 88 − 5?,,"[""84"", ""82"", ""85"", ""83""]",3,,The correct result is 83.,,,"[""math"", ""arithmetic"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,2,fr,Combien font 107 ÷ 9 ? (arrondir à l'entier le plus proche),,"[""13"", ""11"", ""14"", ""12""]",3,,Le résultat correct est 12.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,4,1,de,,88 ist eine ungerade Zahl.,,,False,Ungerade Zahlen sind nicht durch 2 teilbar.,,,"[""math"", ""true-false"", ""de"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,1,5,en,Choose the correct article: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' starts with a vowel sound → 'an'.,,,"[""language"", ""grammar"", ""en"", ""grade-1"", ""diff-5""]",36000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,4,1,en,What is 25% of 100?,,,,25,25% of 100 = 100×25/100 = 25.,,,"[""math"", ""number-input"", ""en"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,4,en,What is the plural of 'mouse'?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' is an irregular plural.,,,"[""language"", ""grammar"", ""en"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,5,3,fr,Combien font 25 × 68 ?,,,,1700,25×68=1700.,,,"[""math"", ""number-input"", ""fr"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,2,de,Auf welchem Kontinent liegt Canada?,,"[""Europe"", ""Oceania"", ""South America"", ""North America""]",3,,Canada liegt in North America.,,,"[""geography"", ""continents"", ""de"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,2,4,fr,Choisissez la forme correcte : 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Le pluriel utilise 'are'.,,,"[""language"", ""grammar"", ""fr"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,2,2,en,,35 + 6 is greater than 35 × 6.,,,False,Compare sum vs product to decide.,,,"[""math"", ""true-false"", ""en"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,5,1,de,Wie viel ist 70 ÷ 7? (auf ganze Zahl runden),,"[""11"", ""12"", ""9"", ""10""]",3,,Das richtige Ergebnis ist 10.,,,"[""math"", ""arithmetic"", ""de"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,6,1,fr,Quelle est la hauteur (en mètres) de la tour Eiffel environ ? (entier),,,,324,La tour Eiffel fait ~324 m.,m,,"[""geography"", ""number-input"", ""fr"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,4,en,"In a food chain, which is a plant?",,"[""Producer"", ""Consumer"", ""Decomposer"", ""Predator""]",0,,Plants are producers.,,,"[""general-knowledge"", ""en"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,6,3,fr,,"En anglais, une phrase commence par une majuscule.",,,True,Règle grammaticale standard.,,,"[""language"", ""true-false"", ""fr"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,4,en,On which continent is Mexico?,,"[""South America"", ""Antarctica"", ""Africa"", ""North America""]",3,,Mexico is in North America.,,,"[""geography"", ""continents"", ""en"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,2,2,fr,Quelle est la capitale de Mexico ?,,"[""Belgrade"", ""Mexico City"", ""Tirana"", ""Ankara""]",1,,La capitale de Mexico est Mexico City.,,,"[""geography"", ""capitals"", ""fr"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,1,5,fr,Combien y a-t-il de continents sur Terre ?,,,,7,Le modèle standard en compte 7.,,,"[""geography"", ""number-input"", ""fr"", ""grade-1"", ""diff-5""]",36000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,5,5,de,,Im Englischen beginnt ein Satz mit einem Großbuchstaben.,,,True,Das ist eine Standardregel der Grammatik.,,,"[""language"", ""true-false"", ""de"", ""grade-5"", ""diff-5""]",20000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,3,en,A square has side 8 cm. What is its perimeter?,,"[""40"", ""28"", ""36"", ""32""]",3,,The correct result is 32.,,,"[""math"", ""arithmetic"", ""en"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,5,1,de,Wie viel ist 49 × 23?,,,,1127,49×23=1127.,,,"[""math"", ""number-input"", ""de"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,6,2,de,,Auf Meereshöhe kocht Wasser bei 100°C.,,,True,Siedepunkt von Wasser auf Meereshöhe ist 100°C.,,,"[""general-knowledge"", ""true-false"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,math,6,2,de,Welches Tier ist auf dem Bild zu sehen?,,"[""Katze"", ""Hund"", ""Vogel"", ""Fisch""]",0,,Erkenne das Tier auf dem Bild.,,https://picsum.photos/seed/img71/400/300,"[""math"", ""image"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,4,3,en,How many continents are there on Earth?,,,,7,Standard model is 7.,,,"[""geography"", ""number-input"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,6,1,fr,,41 + 30 est supérieur à 41 × 30.,,,False,Comparez la somme et le produit.,,,"[""math"", ""true-false"", ""fr"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,6,2,fr,Quelle est la hauteur (en mètres) de la tour Eiffel environ ? (entier),,,,324,La tour Eiffel fait ~324 m.,m,,"[""geography"", ""number-input"", ""fr"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,2,de,Welcher Planet ist als der Rote Planet bekannt?,,"[""Mars"", ""Jupiter"", ""Venus"", ""Merkur""]",0,,Mars heißt der Rote Planet wegen Eisenoxid (Rost) auf der Oberfläche.,,,"[""general-knowledge"", ""de"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,3,fr,Quelle est la capitale de Argentina ?,,"[""Belgrade"", ""Beijing"", ""Buenos Aires"", ""Helsinki""]",2,,La capitale de Argentina est Buenos Aires.,,,"[""geography"", ""capitals"", ""fr"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,2,1,de,Welcher Planet ist als der Rote Planet bekannt?,,"[""Mars"", ""Jupiter"", ""Venus"", ""Merkur""]",0,,Mars heißt der Rote Planet wegen Eisenoxid (Rost) auf der Oberfläche.,,,"[""general-knowledge"", ""de"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,3,de,Wähle den richtigen Artikel: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' beginnt mit Vokal → 'an'.,,,"[""language"", ""grammar"", ""de"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,2,2,en,How many continents are there on Earth?,,,,7,Standard model is 7.,,,"[""geography"", ""number-input"", ""en"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,2,de,Auf welchem Kontinent liegt Albania?,,"[""Europe"", ""Asia"", ""North America"", ""Oceania""]",0,,Albania liegt in Europe.,,,"[""geography"", ""continents"", ""de"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,4,en,What is 34 − 4?,,"[""32"", ""31"", ""29"", ""30""]",3,,The correct result is 30.,,,"[""math"", ""arithmetic"", ""en"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,general-knowledge,3,2,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",2,,Identify the basic geometric shape.,,https://picsum.photos/seed/img82/400/300,"[""general-knowledge"", ""image"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,3,en,What is 7 ÷ 3? (round to nearest integer),,"[""1"", ""2"", ""3"", ""4""]",1,,The correct result is 2.,,,"[""math"", ""arithmetic"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,3,en,What is 26 + 32?,,"[""59"", ""58"", ""60"", ""57""]",1,,The correct result is 58.,,,"[""math"", ""arithmetic"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,1,2,fr,Quelle est la température corporelle normale (°C) ?,,"[""36,5\u201337,5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,"Plage normale ~36,5–37,5°C.",,,"[""general-knowledge"", ""fr"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,2,3,fr,Combien de lettres contient le mot anglais 'mountain' ?,,,,8,Comptez les lettres du mot anglais.,,,"[""language"", ""spelling"", ""fr"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,3,de,Wie viel ist 634 + 993?,,,,1627,634+993=1627.,,,"[""math"", ""number-input"", ""de"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,2,3,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,3,en,A square has side 17 cm. What is its perimeter?,,"[""72"", ""68"", ""64"", ""76""]",1,,The correct result is 68.,,,"[""math"", ""arithmetic"", ""en"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,2,fr,Combien font 12 × 11 ?,,"[""132"", ""136"", ""131"", ""129""]",0,,Le résultat correct est 132.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,2,2,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,1,3,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,1,1,de,Welches Tier ist auf dem Bild zu sehen?,,"[""Katze"", ""Hund"", ""Vogel"", ""Fisch""]",2,,Erkenne das Tier auf dem Bild.,,https://picsum.photos/seed/img93/400/300,"[""geography"", ""image"", ""de"", ""grade-1"", ""diff-1""]",14400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,5,4,en,,99 is an even number.,,,False,Even numbers are divisible by 2.,,,"[""math"", ""true-false"", ""en"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,5,3,en,,9 + 9 equals 2 × 9.,,,True,"By distributive property, it's always true.",,,"[""math"", ""true-false"", ""en"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
